"S.No,Open,High,Low,Close,Adj Close,Volume"
"365,10200,10220,10140,10200,7913.130859,8980000"
"366,10200,10220,10000,10040,7789.002441,16855000"
"367,9880,9990,9880,9960,7726.937988,18145000"
"368,10120,10140,10020,10040,7789.002441,17335000"
"369,10040,10320,10000,10240,7944.163086,22655000"
"370,10240,10340,10200,10340,8021.741211,17215000"
"371,10340,10340,10340,10340,8021.741211,0"
"372,10360,10400,10200,10360,8037.256836,20505000"
"373,10360,10400,10300,10360,8037.256836,17855000"
"374,10480,10500,10400,10440,8099.324219,13945000"
"375,10440,10440,10320,10340,8021.741211,9565000"
"376,10320,10400,10260,10400,8068.288086,10385000"
"377,10360,10400,10320,10360,8037.256836,10675000"
"378,10260,10280,10040,10040,7789.002441,33175000"
"379,10000,10040,9780,9830,7626.085449,43345000"
"380,9470,9630,9440,9520,7385.588379,43245000"
"381,9540,9600,9480,9480,7354.556152,30145000"
"382,9570,9660,9380,9400,7292.495605,32885000"
"383,9240,9400,9150,9320,7230.428711,29320000"
"384,9500,9520,9340,9340,7245.945313,16725000"
"385,9240,9490,9240,9490,7362.312988,16435000"
"386,9490,9490,9420,9420,7308.008789,9375000"
"387,9260,9340,9220,9280,7199.39502,20590000"
"388,9260,9270,9140,9200,7137.33252,19700000"
"389,9040,9130,8990,9040,7013.208008,29275000"
"390,9120,9160,9000,9110,7067.51123,11845000"
"391,9100,9230,9050,9100,7059.754395,13870000"
"392,9100,9340,9100,9290,7207.153809,17315000"
"393,9290,9290,9290,9290,7207.153809,0"
"394,9330,9510,9330,9480,7354.556152,24680000"
"395,9500,9550,9410,9500,7370.071777,20035000"
"396,9560,9590,9510,9540,7401.10498,10675000"
"397,9500,9510,9430,9440,7323.521973,17300000"
"398,9480,9600,9480,9500,7370.071777,20860000"
"399,9500,9700,9440,9630,7470.924805,20545000"
"400,9700,9800,9680,9760,7571.779785,17350000"
"401,9800,9860,9670,9790,7595.053711,18175000"
"402,9890,9900,9780,9790,7595.053711,17095000"
"403,9860,10020,9850,9970,7734.697266,25435000"
"404,9990,10040,9900,9970,7734.697266,11685000"
"405,9920,9970,9890,9960,7726.937988,8045000"
"406,9930,9970,9860,9900,7680.391113,12750000"
"407,9870,9930,9670,9690,7517.474609,21315000"
"408,9630,9700,9590,9640,7478.683594,13895000"
"409,9800,9860,9730,9800,7602.811523,18775000"
"410,9800,9880,9800,9870,7657.116699,11435000"
"411,9850,9880,9730,9780,7587.295898,22275000"
"412,9670,9790,9660,9780,7587.295898,16545000"
"413,9900,9910,9750,9750,7564.019531,18320000"
"414,9760,9830,9710,9760,7571.779785,17675000"
"415,9760,9760,9760,9760,7571.779785,0"
"416,9680,9700,9600,9610,7455.412109,24125000"
"417,9560,9620,9500,9550,7408.86084,26785000"
"418,9510,9600,9430,9600,7447.652832,37520000"
"419,9600,9890,9540,9830,7626.085449,40645000"
"420,9830,9990,9830,9960,7726.937988,22765000"
"421,9960,10020,9880,9930,7703.666504,19495000"
"422,9930,10000,9890,10000,7757.971191,22460000"
"423,10000,10040,9940,9970,7734.697266,18395000"
"424,9980,9990,9830,9870,7657.116699,23945000"
"425,9870,9880,9790,9810,7610.569336,16605000"
"426,9810,9830,9720,9760,7571.779785,20260000"
"427,9760,9880,9740,9860,7649.359375,19650000"
"428,9860,9980,9840,9960,7726.937988,25990000"
"429,9920,9920,9780,9820,7618.328125,21780000"
"430,9780,9780,9660,9770,7579.535645,28050000"
"431,9770,9810,9710,9790,7595.053711,18530000"
"432,9800,9850,9760,9800,7602.811523,19185000"
"433,9800,9960,9800,9880,7664.874512,19835000"
"434,9880,10020,9860,10020,7773.489258,26555000"
"435,10100,10180,10020,10060,7804.518066,15655000"
"436,10080,10140,10000,10040,7789.002441,9300000"
"437,10060,10140,10060,10080,7820.035156,13455000"
"438,10080,10380,10080,10320,8006.227051,31910000"
"439,10340,10440,10320,10320,8006.227051,19665000"
"440,10500,10700,10500,10660,8269.999023,34585000"
"441,10800,10960,10740,10820,8394.123047,46835000"
"442,10860,10940,10780,10940,8487.21875,25465000"
"443,10980,11020,10940,10940,8487.21875,28885000"
"444,10960,11000,10780,10840,8409.640625,26105000"
"445,10860,11040,10820,10980,8518.253906,21220000"
"446,11000,11240,10980,11220,8704.445313,33785000"
"447,11240,11340,11100,11160,8657.895508,30025000"
"448,11300,11360,11160,11260,8735.475586,26780000"
"449,11180,11200,10920,11040,8564.796875,27575000"
"450,11040,11140,11040,11100,8611.347656,18455000"
"451,11120,11160,10940,11020,8549.287109,20630000"
"452,11040,11180,10960,11020,8549.287109,18430000"
"453,11040,11320,11040,11200,8688.926758,23655000"
"454,11320,11320,11200,11300,8766.505859,17875000"
"455,11320,11380,11220,11380,8828.572266,16470000"
"456,11400,11420,11240,11360,8813.053711,14250000"
"457,11500,11540,11360,11360,8813.053711,23635000"
"458,11360,11380,11200,11320,8782.021484,18370000"
"459,11220,11220,10960,11060,8580.31543,30100000"
"460,11040,11040,10860,11020,8549.287109,18285000"
"461,11020,11060,10900,11000,8533.768555,20325000"
"462,11100,11240,11060,11100,8611.347656,16480000"
"463,11100,11400,11100,11340,8797.541992,19885000"
"464,11380,11580,11380,11560,8968.214844,24480000"
"465,11560,11560,11560,11560,8968.214844,0"
"466,11560,11640,11380,11440,8875.118164,26040000"
"467,11320,11440,11200,11440,8875.118164,20420000"
"468,11440,11460,11060,11100,8611.347656,33515000"
"469,11100,11120,10980,11060,8580.31543,20935000"
"470,11060,11400,11060,11260,8735.475586,19550000"
"471,11280,11380,11200,11240,8719.958984,18770000"
